accepter,To accept,Regular
avoir,To have,Irregular
adorer,To adore,Regular
aimer,To like,Regular
annuler,To cancel,Regular
apporter,To bring,Regular
bavarder,To chat,Regular
casser,To break,Regular
chanter,To sing,Regular
chercher,To look for,Regular
commander,To order,Regular
commencer,To begin,Regular
couper,To cut,Regular
danser,To danse,Regular
demander,To ask,Regular
dessiner,To draw,Regular
détester,To hate,Regular
donner,To give,Regular
écouter,To listen,Regular
gagner,To win,Regular
goûter,To taste,Regular
habiter,To live,Regular
jouer,To play,Regular
oublier,To forget,Regular
parler,To speak,Regular
penser,To think,Regular
porter,To wear,Regular
prêter,To lend,Regular
regarder,To watch,Regular
rencontrer,To meet,Regular
rester,To stay,Regular
skier,To ski,Regular
téléphoner,To telephone,Regular
tomber,To fall,Regular
travailler,To work,Regular
trouver,To find,Regular
utiliser,To use,Regular
visiter,To visit,Regular
choisir,To choose,Regular
finir,To finish,Regular
grossir,To gain weight,Regular
maigrir,To lose weight,Regular
réfléchir,To reflect,Regular
réussir,To succeed,Regular
rougir,To blush,Regular
vieillir,To grow old,Regular
attendre,To wait,Regular
descendre,To descend,Regular
entendre,To hear,Regular
perdre,To lose,Regular
vendre,To sell,Regular
